step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
322,63412,644,0.027397866767273363,0.5,0.8333333333333334,,,,,,,,,
323,63654,646,0.033669877056435635,0.5,0.8,,,,,,,,,
324,63928,648,0.028285197138516995,0.5,0.8,,,,,,,,,
325,64186,650,0.028826281390049648,1.0,1.0,,,,,,,,,
326,64348,652,0.026214747420168348,0.5,0.8333333333333334,,,,,,,,,
327,64494,654,0.04055189547852124,0.5,0.8,,,,,,,,,
328,64704,656,0.024332614899778067,1.0,1.0,,,,,,,,,
329,64834,658,0.02608715850728004,1.0,1.0,0.04322433734737647,0.5,0.8,,,,,,
330,65076,660,0.029216996499038337,0.5,0.8,,,,,,,,,
331,65302,662,0.020293346165980698,1.0,1.0,,,,,,,,,
332,65432,664,0.04692815613268863,0.5,0.8,,,,,,,,,
333,65594,666,0.02442318056830209,1.0,1.0,,,,,,,,,
334,65820,668,0.022396510356430942,1.0,1.0,,,,,,,,,
335,65966,670,0.05151365624771844,0.0,0.5,,,,,,,,,
336,66208,672,0.026588542899162956,1.0,1.0,,,,,,,,,
337,66338,674,0.03294407373313106,0.5,0.8,0.02557906214824499,0.5,0.8,,,,,,
338,66580,676,0.027334296137554705,0.5,0.8,,,,,,,,,
339,66710,678,0.03621231666770314,0.0,0.6666666666666666,,,,,,,,,
340,66920,680,0.02665930317015619,0.0,0.6666666666666666,,,,,,,,,
341,67178,682,0.029636346494727094,0.5,0.75,,,,,,,,,
342,67340,684,0.03151535417281685,0.5,0.75,,,,,,,,,
343,67502,686,0.03330169242991326,1.0,1.0,,,,,,,,,
344,67712,688,0.02752742844614834,0.5,0.8,,,,,,,,,
345,67938,690,0.02497802329242924,1.0,1.0,0.02801751779963459,0.5,0.8,,,,,,
346,68148,692,0.01964804550257633,1.0,1.0,,,,,,,,,
347,68310,694,0.03596799102841533,0.5,0.8,,,,,,,,,
348,68536,696,0.029476217573428585,0.5,0.8,,,,,,,,,
349,68794,698,0.035112693415642014,0.0,0.6666666666666666,,,,,,,,,
350,69004,700,0.03183850581992584,0.5,0.8,,,,,,,,,
351,69246,702,0.029576459685680068,1.0,1.0,,,,,,,,,
352,69376,704,0.024975072767763888,1.0,1.0,,,,,,,,,
353,69666,706,0.027139382153847893,1.0,1.0,0.03571971811907224,0.0,0.6666666666666666,,,,,,
354,69780,708,0.03568827346009389,0.5,0.8,,,,,,,,,
355,69894,710,0.042153312087769214,0.5,0.8,,,,,,,,,
356,70040,712,0.03914863029344714,0.0,0.6666666666666666,,,,,,,,,
357,70250,714,0.025032583831302874,0.5,0.8333333333333334,,,,,,,,,
358,70492,716,0.02587763379067413,1.0,1.0,,,,,,,,,
359,70606,718,0.040834149683965475,0.5,0.8,,,,,,,,,
360,70864,720,0.027632180312962478,1.0,1.0,,,,,,,,,
361,71090,722,0.03747248791091157,0.0,0.5,0.03904964691605073,0.5,0.8,,,,,,
362,71364,724,0.03832879159298901,0.5,0.8,,,,,,,,,
363,71590,726,0.02129812299238243,1.0,1.0,,,,,,,,,
364,71736,728,0.031450561263732704,0.5,0.8,,,,,,,,,
365,71930,730,0.02871039842652655,1.0,1.0,,,,,,,,,
366,72156,732,0.030163844185293717,0.5,0.8,,,,,,,,,
367,72366,734,0.034241864707808135,0.5,0.8,,,,,,,,,
368,72496,736,0.03636380976325313,0.5,0.8,,,,,,,,,
369,72690,738,0.031365754205780076,0.0,0.5,0.0212938322429916,0.5,0.8333333333333334,,,,,,
370,72916,740,0.026876671506614522,0.5,0.75,,,,,,,,,
371,73174,742,0.028670790132260038,0.5,0.8,,,,,,,,,
